occ_code,occ_name,group_name
433051,Payroll and Timekeeping Clerks,Financial Clerks
439041,Insurance Claims and Policy Processing Clerks,Financial Clerks
434131,Loan Interviewers and Clerks,Financial Clerks
433041,Gaming Cage Workers,Financial Clerks
434011,Brokerage Clerks,Financial Clerks
433061,Procurement Clerks,Financial Clerks
434041,"Credit Authorizers, Checkers, and Clerks",Financial Clerks
434141,New Accounts Clerks,Financial Clerks
433021,Billing and Posting Clerks,Financial Clerks
211093,Social and Human Service Assistants,Social and Human Service Assistants
474011,Construction and Building Inspectors,Construction and Building Inspectors
330000,Protective Service Occupations,Protective Service Occupations
430000,Office and Administrative Support Occupations,Office and Administrative Support Occupations
312012,Occupational Therapy Aides,Occupational Therapy Assistants and Aides
312011,Occupational Therapy Assistants,Occupational Therapy Assistants and Aides
112022,Sales Managers,Sales Managers
439061,"Office Clerks, General",General Office Clerks
193091,Anthropologists and Archeologists,Anthropologists and Archeologists
192042,"Geoscientists, Except Hydrologists and Geographers",Geoscientists
112021,Marketing Managers,"Advertising, Promotions, and Marketing Managers"
112011,Advertising and Promotions Managers,"Advertising, Promotions, and Marketing Managers"
173024,Electro-Mechanical Technicians,Electro-mechanical Technicians
151141,Database Administrators,Database Administrators
132081,"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents"
292033,Nuclear Medicine Technologists,Nuclear Medicine Technologists
193011,Economists,Economists
413041,Travel Agents,Travel Agents
493011,Aircraft Mechanics and Service Technicians,Aircraft and Avionics Equipment Mechanics and Technicians
492091,Avionics Technicians,Aircraft and Avionics Equipment Mechanics and Technicians
151111,Computer and Information Research Scientists,Computer and Information Research Scientists
211011,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors
339021,Private Detectives and Investigators,Private Detectives and Investigators
131051,Cost Estimators,Cost Estimators
419012,Models,Models
270000,"Arts, Design, Entertainment, Sports, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations"
113121,Human Resources Managers,Human Resources Managers
211015,Rehabilitation Counselors,Rehabilitation Counselors
211094,Community Health Workers,Health Educators and Community Health Workers
211091,Health Educators,Health Educators and Community Health Workers
131071,Human Resources Specialists,Human Resources Specialists
191042,"Medical Scientists, Except Epidemiologists",Medical Scientists
131161,Market Research Analysts and Marketing Specialists,Market Research Analysts
173023,Electrical and Electronics Engineering Technicians,Electrical and Electronics Engineering Technicians
291123,Physical Therapists,Physical Therapists
434171,Receptionists and Information Clerks,Receptionists
272032,Choreographers,Dancers and Choreographers
272031,Dancers,Dancers and Choreographers
172051,Civil Engineers,Civil Engineers
472072,Pile-Driver Operators,Construction Equipment Operators
472071,"Paving, Surfacing, and Tamping Equipment Operators",Construction Equipment Operators
472073,Operating Engineers and Other Construction Equipment Operators,Construction Equipment Operators
472231,Solar Photovoltaic Installers,Solar Photovoltaic Installers
419022,Real Estate Sales Agents,Real Estate Brokers and Sales Agents
419021,Real Estate Brokers,Real Estate Brokers and Sales Agents
259031,Instructional Coordinators,Instructional Coordinators
273011,Radio and Television Announcers,Announcers
273012,Public Address System and Other Announcers,Announcers
454011,Forest and Conservation Workers,Forest and Conservation Workers
254021,Librarians,Librarians
252022,"Middle School Teachers, Except Special and Career/Technical Education",Middle School Teachers
132053,Insurance Underwriters,Insurance Underwriters
211092,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists
472011,Boilermakers,Boilermakers
512021,"Coil Winders, Tapers, and Finishers",Assemblers and Fabricators
512022,Electrical and Electronic Equipment Assemblers,Assemblers and Fabricators
512041,Structural Metal Fabricators and Fitters,Assemblers and Fabricators
512093,Timing Device Assemblers and Adjusters,Assemblers and Fabricators
512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Assemblers and Fabricators
512092,Team Assemblers,Assemblers and Fabricators
512091,Fiberglass Laminators and Fabricators,Assemblers and Fabricators
512031,Engine and Other Machine Assemblers,Assemblers and Fabricators
512099,"Assemblers and Fabricators, All Other",Assemblers and Fabricators
512023,Electromechanical Equipment Assemblers,Assemblers and Fabricators
472082,Tapers,"Drywall and Ceiling Tile Installers, and Tapers"
472081,Drywall and Ceiling Tile Installers,"Drywall and Ceiling Tile Installers, and Tapers"
231022,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators"
274032,Film and Video Editors,Film and Video Editors and Camera Operators
274031,"Camera Operators, Television, Video, and Motion Picture",Film and Video Editors and Camera Operators
132011,Accountants and Auditors,Accountants and Auditors
171022,Surveyors,Surveyors
350000,Food Preparation and Serving Related Occupations,Food Preparation and Serving Related Occupations
291051,Pharmacists,Pharmacists
272012,Producers and Directors,Producers and Directors
273043,Writers and Authors,Writers and Authors
291071,Physician Assistants,Physician Assistants
252031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Teachers
513099,"Food Processing Workers, All Other",Food and Tobacco Processing Workers
513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Food and Tobacco Processing Workers
513092,Food Batchmakers,Food and Tobacco Processing Workers
513093,Food Cooking Machine Operators and Tenders,Food and Tobacco Processing Workers
253011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Literacy and High School Equivalency Diploma Teachers
172011,Aerospace Engineers,Aerospace Engineers
119021,Construction Managers,Construction Managers
131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Buyers and Purchasing Agents
131022,"Wholesale and Retail Buyers, Except Farm Products",Buyers and Purchasing Agents
131021,"Buyers and Purchasing Agents, Farm Products",Buyers and Purchasing Agents
152011,Actuaries,Actuaries
292011,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologists and Technicians
292012,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technologists and Technicians
311011,Home Health Aides,Home Health Aides
194051,Nuclear Technicians,Nuclear Technicians
291041,Optometrists,Optometrists
412022,Parts Salespersons,Retail Sales Workers
412031,Retail Salespersons,Retail Sales Workers
292056,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians
435052,Postal Service Mail Carriers,Postal Service Workers
435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Postal Service Workers
435051,Postal Service Clerks,Postal Service Workers
395092,Manicurists and Pedicurists,Manicurists and Pedicurists
191021,Biochemists and Biophysicists,Biochemists and Biophysicists
172121,Marine Engineers and Naval Architects,Marine Engineers and Naval Architects
151134,Web Developers,Web Developers
311015,Orderlies,Nursing Assistants and Orderlies
311014,Nursing Assistants,Nursing Assistants and Orderlies
274021,Photographers,Photographers
273091,Interpreters and Translators,Interpreters and Translators
292055,Surgical Technologists,Surgical Technologists
131031,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Appraisers, Examiners, and Investigators"
131032,"Insurance Appraisers, Auto Damage","Claims Adjusters, Appraisers, Examiners, and Investigators"
119013,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
110000,Management Occupations,Management Occupations
271022,Fashion Designers,Fashion Designers
119141,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers"
474041,Hazardous Materials Removal Workers,Hazardous Materials Removal Workers
272041,Music Directors and Composers,Music Directors and Composers
